date,value
2016-01-01,238
2016-01-02,236
2016-01-03,435
2016-01-04,277
2016-01-05,313
2016-01-06,343
2016-01-07,300
2016-01-08,353
2016-01-09,244
2016-01-10,245
2016-01-11,276
2016-01-12,276
2016-01-13,230
2016-01-14,283
2016-01-15,284
2016-01-16,229
2016-01-17,207
2016-01-18,301
2016-01-19,323
2016-01-20,289
2016-01-21,281
2016-01-22,279
2016-01-23,200
2016-01-24,256
2016-01-25,288
2016-01-26,290
2016-01-27,356
2016-01-28,297
2016-01-29,238
2016-01-30,224
2016-01-31,219
2016-02-01,311
2016-02-02,398
2016-02-03,316
2016-02-04,295
2016-02-05,288
2016-02-06,213
2016-02-07,242
2016-02-08,315
2016-02-09,369
2016-02-10,338
2016-02-11,318
2016-02-12,273
2016-02-13,244
2016-02-14,235
2016-02-15,317
2016-02-16,418
2016-02-17,465
2016-02-18,353
2016-02-19,338
2016-02-20,305
2016-02-21,320
2016-02-22,404
2016-02-23,396
2016-02-24,375
2016-02-25,395
2016-02-26,382
2016-02-27,262
2016-02-28,316
2016-02-29,348
2016-03-01,366
2016-03-02,327
2016-03-03,378
2016-03-04,395
2016-03-05,274
2016-03-06,287
2016-03-07,400
2016-03-08,374
2016-03-09,366
2016-03-10,372
2016-03-11,311
2016-03-12,252
2016-03-13,269
2016-03-14,292
2016-03-15,310
2016-03-16,323
2016-03-17,309
2016-03-18,341
2016-03-19,256
2016-03-20,229
2016-03-21,298
2016-03-22,325
2016-03-23,299
2016-03-24,251
2016-03-25,235
2016-03-26,218
2016-03-27,220
2016-03-28,273
2016-03-29,294
2016-03-30,285
2016-03-31,269
2016-04-01,252
2016-04-02,196
2016-04-03,198
2016-04-04,237
2016-04-05,250
2016-04-06,261
2016-04-07,269
2016-04-08,197
2016-04-09,200
2016-04-10,185
2016-04-11,262
2016-04-12,235
2016-04-13,219
2016-04-14,220
2016-04-15,166
2016-04-16,151
2016-04-17,133
2016-04-18,195
2016-04-19,212
2016-04-20,205
2016-04-21,534
2016-04-22,203
2016-04-23,153
2016-04-24,156
2016-04-25,195
2016-04-26,240
2016-04-27,247
2016-04-28,237
2016-04-29,175
2016-04-30,157
2016-05-01,160
2016-05-02,177
2016-05-03,218
2016-05-04,178
2016-05-05,148
2016-05-06,151
2016-05-07,181
2016-05-08,121
2016-05-09,161
2016-05-10,212
2016-05-11,300
2016-05-12,175
2016-05-13,158
2016-05-14,251
2016-05-15,135
2016-05-16,159
2016-05-17,155
2016-05-18,154
2016-05-19,147
2016-05-20,134
2016-05-21,101
2016-05-22,108
2016-05-23,155
2016-05-24,178
2016-05-25,172
2016-05-26,164
2016-05-27,140
2016-05-28,323
2016-05-29,145
2016-05-30,131
2016-05-31,172
2016-06-01,200
2016-06-02,163
2016-06-03,137
2016-06-04,101
2016-06-05,117
2016-06-06,149
2016-06-07,182
2016-06-08,140
2016-06-09,131
2016-06-10,123
2016-06-11,130
2016-06-12,114
2016-06-13,74
2016-06-14,143
2016-06-15,141
2016-06-16,151
2016-06-17,110
2016-06-18,94
2016-06-19,119
2016-06-20,126
2016-06-21,129
2016-06-22,128
2016-06-23,123
2016-06-24,107
2016-06-25,97
2016-06-26,123
2016-06-27,143
2016-06-28,131
2016-06-29,161
2016-06-30,126
2016-07-01,124
2016-07-02,97
2016-07-03,117
2016-07-04,100
2016-07-05,116
2016-07-06,120
2016-07-07,102
2016-07-08,132
2016-07-09,107
2016-07-10,95
2016-07-11,114
2016-07-12,112
2016-07-13,114
2016-07-14,114
2016-07-15,112
2016-07-16,106
2016-07-17,121
2016-07-18,128
2016-07-19,107
2016-07-20,129
2016-07-21,112
2016-07-22,101
2016-07-23,107
2016-07-24,88
2016-07-25,105
2016-07-26,125
2016-07-27,112
2016-07-28,114
2016-07-29,109
2016-07-30,97
2016-07-31,117
2016-08-01,135
2016-08-02,116
2016-08-03,132
2016-08-04,119
2016-08-05,117
2016-08-06,113
2016-08-07,129
2016-08-08,129
2016-08-09,118
2016-08-10,114
2016-08-11,130
2016-08-12,134
2016-08-13,114
2016-08-14,109
